rep_iso,year,0,1,2,3
ABW,2005,0.09914088786046976,0.1798369791833445,0.10402767693205923,0.6169944560241265
ABW,2009,0.08717290935052896,0.7232467741342831,0.09113129033888942,0.09844902617629867
ABW,2010,0.09097809542297318,0.7066094146282721,0.09585615774973204,0.10655633219902284
ABW,2011,0.08827658990408244,0.7211978136577178,0.09350994698299477,0.09701564945520494
ABW,2012,0.08607910333197862,0.7285871846913143,0.0934904593375978,0.09184325263910938
ABW,2013,0.0874129825094336,0.7245793641607736,0.0938658220164885,0.09414183131330439
ABW,2014,0.08784392406748785,0.7270180345836451,0.09125271830396416,0.09388532304490292
ABW,2015,0.08346652458739995,0.7383432396627305,0.08731146117890638,0.09087877457096326
ABW,2016,0.07281676539391504,0.7708412419479114,0.07677480725180728,0.07956718540636637
ABW,2017,0.06526596150823782,0.7952540714537838,0.07057037577531036,0.06890959126266807
AFG,2008,0.08919892163908089,0.08941910450085609,0.08918993771668157,0.7321920361433815
AFG,2009,0.0816555537527862,0.08154033726035816,0.08296627917581254,0.7538378298110432
AFG,2010,0.08353191102003205,0.08330066765196209,0.0837464733568967,0.7494209479711091
AFG,2011,0.08028510478976016,0.07970181573942788,0.08033328546957208,0.75967979400124
AFG,2012,0.10448948630307914,0.10452637054017948,0.10606844493275638,0.6849156982239851
AFG,2013,0.10691112429723384,0.10695462492379465,0.1076578726386214,0.67847637814035
AFG,2014,0.10645552842128636,0.10649822447249975,0.10726472814525462,0.6797815189609593
AFG,2015,0.1092702511649384,0.07358584771254574,0.0737346381726755,0.7434092629498403
AFG,2016,0.06355946136970785,0.06347094342564458,0.06372917298744903,0.8092404222171986
AGO,2007,0.6181890903702266,0.12255515164817776,0.1363736158994208,0.12288214208217485
AGO,2009,0.1068905958800423,0.10697357326760155,0.6791954263970366,0.10694040445531959
AGO,2010,0.1069238494623913,0.10700726807151627,0.6791243884123982,0.10694449405369442
AGO,2011,0.12507810545483825,0.12518785768845597,0.6257887195134483,0.12394531734325759
AGO,2012,0.12375408954188817,0.12386216674547725,0.6296922326777451,0.1226915110348894
AGO,2013,0.12393800919394514,0.12401547970721488,0.6292697570307327,0.12277675406810724
AGO,2014,0.6198846554252624,0.12288992162129077,0.13406090779714616,0.12316451515630057
AGO,2015,0.6160674867921256,0.12211289677745467,0.13930460675104303,0.12251500967937656
ALB,1996,0.11521016716483874,0.13390471451365238,0.04853743858674093,0.702347679734768
ALB,1997,0.04930033753386606,0.10317131870523402,0.05548903957885786,0.7920393041820419
ALB,1998,0.05590716668848031,0.10350130050486289,0.05773398111865949,0.7828575516879972
ALB,1999,0.09773851568885648,0.11825807974897692,0.05967225552027827,0.7243311490418883
ALB,2000,0.058386964629114316,0.09076328298575263,0.059063744808930854,0.7917860075762022
ALB,2001,0.058326162586676944,0.0886027918175931,0.05914791068478407,0.7939231349109458
ALB,2002,0.05946315133905751,0.0921110955958204,0.06017481442010605,0.7882509386450162
ALB,2003,0.06039001790897289,0.10195427915234888,0.06061283995087784,0.7770428629878005
ALB,2004,0.05700918101741059,0.1265668445505383,0.05474674629795797,0.7616772281340931
ALB,2005,0.07637401172038813,0.12714277807727864,0.050507694126961246,0.7459755160753719
ALB,2006,0.08771230635699159,0.1546102906168707,0.04588338876363264,0.711794014262505
ALB,2007,0.12997742086618097,0.15696659026488308,0.04311691393067757,0.6699390749382584
ALB,2008,0.12597164480826314,0.16493754729266624,0.040377213201647146,0.6687135946974234
ALB,2009,0.15261640283043973,0.14355250644144438,0.041804046753647565,0.6620270439744684
ALB,2010,0.20544117179680763,0.18289003946401503,0.046223435390527236,0.5654453533486501
ALB,2011,0.29029390243283365,0.17155883393775156,0.052920177640253155,0.48522708598916175
ALB,2012,0.36586967631651296,0.13480536042456995,0.06717177968852481,0.43215318357039223
ALB,2013,0.3814019386409594,0.11880276307038773,0.0717632460545588,0.4280320522340942
ALB,2014,0.05658504541642249,0.06796388577903309,0.05193391783309675,0.8235171509714477
ALB,2015,0.14454072043160152,0.08849225204925117,0.04447563690324205,0.7224913906159053
ALB,2016,0.16749337927130908,0.1361824089163699,0.04552428689952283,0.6507999249127981
ALB,2017,0.051748593785042436,0.06440733117909923,0.05282309589102493,0.8310209791448334
AND,1996,0.047691883716250306,0.8493703915948692,0.04906732792767747,0.05387039676120317
AND,1997,0.046831457081074335,0.8549582067440518,0.0478799825926319,0.05033035358224209
AND,1998,0.043076259754018034,0.8642599824626822,0.0442993045468615,0.04836445323643819
AND,1999,0.039696688176490004,0.8751187137105134,0.0411476361810938,0.044036961931902825
AND,2000,0.040203367098850584,0.8743650219847908,0.042800354964801245,0.042631255951557305
AND,2001,0.043649594823926295,0.8667305181753717,0.04425701730940902,0.04536286969129294
AND,2002,0.05802000848940562,0.823072964224017,0.05866953564408947,0.060237491642488
AND,2003,0.050336058491014676,0.8469393072663715,0.050840358030177474,0.05188427621243627
AND,2004,0.05854254248776779,0.821570009765589,0.05956634725692102,0.060321100489722064
AND,2005,0.056088407276988814,0.8296888118052564,0.05659724414186379,0.05762553677589094
AND,2006,0.05035788192095902,0.845580729942843,0.05139380429122114,0.05266758384497691
AND,2007,0.04741418436487488,0.8561515950363857,0.04807576688147332,0.04835845371726586
AND,2008,0.04514250354781145,0.8617970472719391,0.04648512333668157,0.04657532584356774
AND,2009,0.04343382347653581,0.8666457191305186,0.04399175074853237,0.045928706644413356
AND,2010,0.04532260892967721,0.8588882713064604,0.048313846375089634,0.047475273388772825
AND,2011,0.0424404069087299,0.8675467313952924,0.045580767459766365,0.044432094236211264
