rep_iso,year,0,1
ABW,1988,1.5665327460709184e-06,0.9999984334672539
ABW,1989,0.7158745929679678,0.2841254070320321
ABW,1990,0.9799194152610192,0.02008058473898078
ABW,1991,0.999308791398681,0.0006912086013190461
ABW,1992,0.9633878047362796,0.0366121952637203
ABW,1993,0.9951676695886691,0.0048323304113309295
ABW,1994,0.9948856131274394,0.005114386872560522
ABW,1995,0.9983104218738241,0.001689578126175948
ABW,1996,0.9974250914042022,0.0025749085957978623
ABW,1997,0.9969941779959142,0.003005822004085889
ABW,1998,0.9870304490569405,0.012969550943059443
ABW,1999,0.9969421058258411,0.00305789417415899
ABW,2000,0.9985111485878846,0.001488851412115406
ABW,2001,0.9966860856397431,0.0033139143602568446
ABW,2002,0.9325658700116934,0.06743412998830652
ABW,2003,0.9561922788852721,0.043807721114727735
ABW,2004,0.9963279937721214,0.0036720062278785487
ABW,2005,0.9640797296768212,0.03592027032317887
ABW,2006,0.9838790186233258,0.016120981376674046
ABW,2007,0.9633781737151558,0.03662182628484417
ABW,2008,0.9618585113948981,0.03814148860510201
ABW,2009,0.8909411907948018,0.10905880920519813
ABW,2010,0.38163252292853633,0.6183674770714636
ABW,2011,0.9610848307341349,0.03891516926586517
ABW,2012,0.9357445195657017,0.06425548043429825
ABW,2013,0.8158141225236613,0.18418587747633872
ABW,2014,0.9018842931264272,0.09811570687357289
ABW,2015,0.6086024808916989,0.3913975191083011
ABW,2016,0.6666582948816038,0.33334170511839617
AFG,1962,0.999420702813937,0.000579297186062924
AFG,1963,0.9999999927493172,7.250682931538831e-09
AFG,1964,0.9999774419609498,2.255803905019809e-05
AFG,1965,0.9995379005890279,0.00046209941097211555
AFG,1966,0.9989346850356171,0.0010653149643829794
AFG,1967,0.9989240118468868,0.0010759881531131636
AFG,1968,0.9961909492000236,0.0038090507999763174
AFG,1969,0.9743799445658992,0.025620055434100883
AFG,1970,0.9792274692293896,0.020772530770610333
AFG,1971,0.9362883900052712,0.06371160999472886
AFG,1972,0.9420872749944545,0.05791272500554534
AFG,1973,0.9552021476260834,0.044797852373916605
AFG,1974,0.9792380038836626,0.020761996116337455
AFG,1975,0.9758716310179192,0.024128368982080765
AFG,1976,0.9534921089592584,0.0465078910407416
AFG,1977,0.9631162201787188,0.03688377982128122
AFG,1978,0.8684054904973809,0.1315945095026192
AFG,1979,0.894443821844157,0.10555617815584292
AFG,1980,0.8424874888106014,0.15751251118939855
AFG,1981,0.796083780073032,0.20391621992696793
AFG,1982,0.8886624233380068,0.1113375766619932
AFG,1983,0.9444243097657192,0.05557569023428072
AFG,1984,0.946838344537989,0.05316165546201091
AFG,1985,0.9229489223394017,0.0770510776605982
AFG,1986,0.8164320399996549,0.18356796000034514
AFG,1987,0.9593480478275295,0.04065195217247041
AFG,1988,0.9622672308584937,0.037732769141506244
AFG,1989,0.9505854930159757,0.04941450698402434
AFG,1990,0.9352265659158149,0.0647734340841851
AFG,1991,0.9270914444223632,0.07290855557763669
AFG,1992,0.8992968706172235,0.10070312938277647
AFG,1993,0.8831622548104703,0.11683774518952966
AFG,1994,0.8532709335500029,0.14672906644999695
AFG,1995,0.8584604706296006,0.14153952937039943
AFG,1996,0.9332812400812364,0.06671875991876355
AFG,1997,0.664228379417217,0.335771620582783
AFG,1998,0.6757545052890402,0.3242454947109597
AFG,1999,0.8174602763747593,0.18253972362524082
AFG,2000,0.8504750972588503,0.14952490274114968
AFG,2001,0.6938809386394195,0.30611906136058054
AFG,2002,0.7350766044250039,0.26492339557499606
AFG,2003,0.8912102156927465,0.10878978430725351
AFG,2004,0.8485880241054804,0.15141197589451955
AFG,2005,0.575739672484543,0.42426032751545695
AFG,2006,0.8928568097031923,0.10714319029680784
AFG,2007,0.6421783052712503,0.35782169472874975
AFG,2008,0.5932861653364906,0.4067138346635093
AFG,2009,0.0841507154775149,0.9158492845224852
AFG,2010,0.6948540035734749,0.3051459964265251
AFG,2011,0.8631034053942325,0.13689659460576745
AFG,2012,0.9167044071183094,0.08329559288169065
AFG,2013,0.8728954975753445,0.12710450242465554
AFG,2014,0.9530881955663723,0.046911804433627725
AFG,2015,0.9614132542795116,0.038586745720488334
AFG,2016,0.9662863499507738,0.033713650049226156
AGO,1962,0.9994047201632065,0.0005952798367935271
AGO,1963,0.9994020168937223,0.0005979831062776215
AGO,1964,0.9999941392850926,5.860714907443915e-06
AGO,1965,0.9995060482424561,0.0004939517575438632
AGO,1966,0.99999999590572,4.094280016673622e-09
AGO,1967,0.9996897260968804,0.0003102739031194448
AGO,1968,0.9998952727980627,0.00010472720193737347
AGO,1969,0.9983697299332638,0.0016302700667362344
AGO,1970,0.998469437352679,0.0015305626473210638
AGO,1971,0.9990383352215841,0.0009616647784157866
AGO,1972,0.9985572805509257,0.0014427194490741738
AGO,1973,0.9912585399827942,0.008741460017205695
AGO,1974,0.9998163808237499,0.00018361917625015804
AGO,1975,0.9986088998656794,0.001391100134320663
AGO,1976,0.9999913323822094,8.667617790683626e-06
AGO,1977,0.9999999984382875,1.561712549820876e-09
AGO,1978,0.9999289280578018,7.107194219817928e-05
AGO,1979,0.9967542949235961,0.003245705076403835
AGO,1980,0.9999812596906302,1.8740309369714115e-05
AGO,1981,0.9999990336590397,9.663409601278047e-07
AGO,1982,0.9998741427685579,0.00012585723144202128
AGO,1983,0.9999999996218643,3.7813568780596446e-10
AGO,1984,0.9999126204602967,8.73795397032617e-05
AGO,1985,0.9999999996503126,3.496873642259301e-10
AGO,1986,0.9999404551544236,5.954484557645713e-05
