rep_iso,year,0,1,2,3,4,5
ABW,1988,4.61952092522271e-07,4.643933055041666e-07,0.09811733668242666,4.6091340456185493e-07,0.4884840345438692,0.41339724151490154
ABW,1989,0.2084046689813412,0.015431769439896846,2.3000455350074052e-08,0.3376714993517647,0.3851001612070032,0.053391878019538624
ABW,1990,0.010141671685237885,3.862050191585974e-09,0.005407660241246612,0.883575399748601,0.096239105589311,0.004636158873553355
ABW,1991,0.002268128698329203,9.21082960058779e-10,0.009491521310878114,0.9684857425548299,0.01916470608521307,0.0005899004296667258
ABW,1992,4.351417666175678e-10,0.0031910802760790804,0.12559112589795518,0.8323102236684872,0.03890756928747876,4.3485795207735704e-10
ABW,1993,2.8622679193109964e-10,0.0011928731614291876,0.011992464185969241,0.9792415226129132,0.007379203847023776,0.00019393590643797856
ABW,1994,0.014753903978339172,0.0007517028101226703,3.0132911958926366e-10,0.9519670807311365,0.03196707480753186,0.0005602373715407255
ABW,1995,0.029127827319909802,0.0004727062320373314,2.460151256904807e-10,0.9498483274267395,0.020551138528712574,2.465855738134588e-10
ABW,1996,0.03451768174203076,0.0002644139915630217,2.198346384665111e-10,0.9412011545406881,0.02401674928627713,2.1960649153902442e-10
ABW,1997,0.026840873234414604,0.0008661597981067229,0.013305462144114573,0.9570471213722332,0.00032042411818637234,0.0016199593329445216
ABW,1998,0.011125411787866517,0.0023119414875446983,0.08034333688716297,0.8962658275723129,0.006370865071736497,0.0035826171933763837
ABW,1999,0.015185026904549419,1.86977168297386e-10,0.06849646564265345,0.8887216214541228,0.025971439100013163,0.0016254467116839605
ABW,2000,0.026460743578143816,1.5240354077950747e-10,0.04865336109995512,0.9087688125637341,0.015123026937871048,0.000994055667892456
ABW,2001,0.02973265016154898,2.1508399771971142e-10,0.01757427492762287,0.9245605401317646,0.027784463723417276,0.0003480708405624172
ABW,2002,0.04028505640108043,2.8863526945448046e-10,0.9413909239134122,2.8921078377637474e-10,0.01832401881795459,2.897066205745236e-10
ABW,2003,0.013000867988854642,2.511633236624581e-10,0.9293640663304132,0.0509850099706601,1.561771928655195e-08,0.006650039841189369
ABW,2004,0.012640466899639807,1.3101360376869818e-10,0.008709261921316661,0.8857232540643192,0.09292701685251968,1.3119104262841026e-10
ABW,2005,1.92174770446059e-05,8.324812986034318e-11,0.9496783822732072,8.320484789567177e-11,0.04825908990103032,0.0020433101822649267
ABW,2006,0.0033120711796658458,7.586234300126069e-11,0.9552103418615326,0.015386019847520204,0.026091566959513323,7.590545429443212e-11
ABW,2007,0.028408735960647285,6.954683428100291e-11,0.9194182497772904,6.955515755105362e-11,0.04705851143363057,0.005114502689329902
ABW,2008,0.011570496758078657,5.6705859343151196e-11,0.9524344034814204,0.03147356364933859,6.23325227994802e-07,0.004520912729228492
ABW,2009,0.0007255856011086864,4.922702347966101e-06,0.9442324030613524,0.03538241548646565,6.311539097114642e-07,0.019654041994815477
ABW,2010,0.002117942313183033,5.447911677388912e-10,0.5096530032450667,0.07783472289930086,0.2992055507953934,0.11118878020226473
ABW,2011,0.01879389463445217,6.77519540283467e-11,0.8064599408212753,0.08573576008395463,0.08901040432466631,6.789971655639748e-11
ABW,2012,0.054765353097094356,1.4451915034694834e-10,0.7187379734079661,0.0007369382999828735,0.22575973490591952,1.4451784685761718e-10
ABW,2013,3.884082553376764e-10,3.887108723417177e-10,0.4526670270442875,0.4457854525399902,0.10154623282382032,1.286814782741825e-06
ABW,2014,4.0276913349231803e-10,4.040683997090721e-10,0.15630192272381221,0.7437670183440087,0.09993105772103533,4.0430617483058306e-10
ABW,2015,4.6315061437375743e-10,2.079966850966858e-05,0.37943510967082406,0.3659756949012908,0.25236418962646207,0.0022042056697627412
ABW,2016,0.06514831240833625,0.003939986940351898,0.7740787301320388,0.1066714899915099,1.751377034456366e-05,0.05014396675741854
AFG,1962,0.9755608630116054,1.9950555298779074e-09,1.987461432454134e-09,1.9838500475011713e-09,0.0244391290367105,1.985317209347612e-09
AFG,1963,0.9988593681562774,1.6377887251166525e-09,1.6433754928330137e-09,0.0006186146802072307,0.0005220122429020076,1.639448981569417e-09
AFG,1964,0.9998500833794135,1.9854126617651752e-09,1.9778044576866967e-09,1.9750364958524105e-09,0.0001499086919610674,1.990371743453505e-09
AFG,1965,0.9994517189045443,1.837971289728915e-09,1.8390063093049176e-09,1.8280241180493886e-09,0.0004954682341706586,5.280735628336777e-05
AFG,1966,0.9990859602899719,2.0510558239400806e-09,2.041743635560455e-09,2.0386604394867555e-09,0.0009140315325041051,2.0460640107177774e-09
AFG,1967,0.9989688360995252,0.00024287148353415878,1.8464139847368924e-09,1.8467604295339743e-09,0.0007882868754661709,1.8483001576445904e-09
AFG,1968,0.9990016247902278,0.00012541521272947957,1.4816441689425518e-09,1.4844652098033658e-09,0.0008729555464601968,1.484473206241262e-09
AFG,1969,0.995682299750578,2.1628996314583242e-09,2.1561762693704986e-09,0.0015235812282020623,0.002794112545347812,2.156796357032991e-09
AFG,1970,0.9745078371006926,0.00022931685633808752,9.326489398927837e-06,0.022707430719878567,0.0019229638520109995,0.0006231249816808146
AFG,1971,0.9835714623399907,1.2023276695850197e-09,1.201146854877385e-09,0.00025519183906033184,0.0038419116642415597,0.01233143175323314
AFG,1972,0.9437474910070663,0.000445828364092948,1.0640811892365907e-09,0.05076677703085749,0.005039901470950059,1.062952076911307e-09
AFG,1973,0.9907130222422806,9.360565568519452e-06,8.687598781209926e-10,4.448032214181763e-06,0.009273167423254266,8.679224733817123e-10
