rep_iso,year,0,1,2,3,4,5
ABW,2005,0.06554188231484435,0.14088299559113868,0.06588200836931088,0.5964180459316691,0.06571378166100864,0.0655612861320282
ABW,2009,0.05790949895873627,0.7086830407756792,0.05848665966561701,0.05890235131908179,0.058035664315408776,0.05798278496547688
ABW,2010,0.060403021124339006,0.6957564106310975,0.061170087600710694,0.06167768342934224,0.060470712683841216,0.060522084530669366
ABW,2011,0.058512697361905064,0.7055295480639877,0.05932372248470233,0.05931009040655885,0.05858743463653234,0.05873650704631379
ABW,2012,0.05656607483162807,0.7155693702357548,0.05748205530775533,0.057132651559554576,0.056579013172800396,0.05667083489250684
ABW,2013,0.05785270422054823,0.7090399320622531,0.05871575912845215,0.05850839328096013,0.05790101841010555,0.0579821928976808
ABW,2014,0.05812613738497299,0.708134334836746,0.058657627759811155,0.05870112329610036,0.058203507637022936,0.058177269085346435
ABW,2015,0.05546583924695364,0.7213533743286502,0.05600060484993949,0.056168514053383425,0.055497813334491566,0.05551385418658173
ABW,2016,0.04667054001278141,0.7645791752563923,0.04728847035349124,0.04729041577907137,0.04740935347028391,0.04676204512797981
ABW,2017,0.04243371170982851,0.7861677861671247,0.043111763295865725,0.04290230117080277,0.04288286732995658,0.04250157032642171
AFG,2008,0.058208525424007236,0.058526400783074535,0.05845035392124414,0.7081104716416536,0.058475837889633675,0.058228410340386755
AFG,2009,0.05346213162855737,0.05366607577923038,0.053821137750664376,0.7318840452761177,0.05367325744792703,0.053493352117503126
AFG,2010,0.054562690892859526,0.054757986732604465,0.05478380371733957,0.726458588816024,0.05477886024516765,0.05465806959600465
AFG,2011,0.052240779424762546,0.052431908007861405,0.05246961728925345,0.7381082755892211,0.05247602015622247,0.05227339953267914
AFG,2012,0.06963760970380009,0.06965678949713351,0.06984831341755096,0.6505982940905609,0.06966694481377138,0.07059204847718323
AFG,2013,0.07126362557206835,0.07128142863875407,0.0713757353856146,0.6424296097491611,0.07127093500092706,0.07237866565347477
AFG,2014,0.07095921791854758,0.07097702349934956,0.07108183419851935,0.6439447152014837,0.07096789657806633,0.07206931260403349
AFG,2015,0.048242108559193544,0.048332640927244146,0.048313794394347444,0.7585560935140584,0.04830140906490214,0.048253953540254246
AFG,2016,0.04141144315110633,0.04162354743166748,0.04162241035429697,0.7920190280130706,0.04182174378524731,0.04150182726461143
AGO,2007,0.5774291726633863,0.08165242805665618,0.0898506995121859,0.08162952377631881,0.08201989565208562,0.08741828033936709
AGO,2009,0.07108689582824006,0.07108986870204025,0.6439446932916864,0.07106039406260846,0.0711398298290231,0.07167831828640167
AGO,2010,0.07110585033261545,0.07110738837118373,0.6438841269340357,0.0710750626234501,0.07113614229997393,0.07169142943874099
AGO,2011,0.08275231272068012,0.08271189283751394,0.5867097746110956,0.08260369317452657,0.08265809368735094,0.08256423296883286
AGO,2012,0.0818871153728658,0.08185376859618551,0.5908941476771826,0.08175205236878814,0.0819068123402,0.08170610364477791
AGO,2013,0.0819863715951367,0.08195247366305412,0.5904222541078785,0.08184593855675501,0.08198830402361387,0.0818046580535618
AGO,2014,0.5791011084623405,0.08187941175595881,0.08837389190247935,0.08186699451876872,0.08219100874869815,0.08658758461175439
AGO,2015,0.5752940513035376,0.08136670647948323,0.09180660592943225,0.0813643936299924,0.08180897429557711,0.08835926836197722
ALB,1996,0.03049821789109409,0.15176637448807026,0.03003223516942818,0.7104806493943606,0.04484614682945,0.03237637622759699
ALB,1997,0.0291383638561928,0.03203630801168779,0.029439469408487733,0.8471032309798062,0.03330946664038656,0.028973161103438942
ALB,1998,0.03361453755903276,0.03595571956390861,0.03398377224103486,0.8269250240034614,0.036286448531718626,0.03323449810084376
ALB,1999,0.03793372463341223,0.03939762287188822,0.03720132621151322,0.8106645203134666,0.037793390570685835,0.03700941539903402
ALB,2000,0.03779081502073911,0.03988233605259346,0.03799386399486243,0.807292004736738,0.03917006414688179,0.03787091604818512
ALB,2001,0.03761155225518993,0.040102013626131784,0.037737215174097,0.8081456596811798,0.038672305917952274,0.03773125334544924
ALB,2002,0.03893195202449913,0.041616550207360034,0.03904061137620357,0.8019451388887314,0.03953618435029265,0.038929563152913294
ALB,2003,0.038945538139889435,0.041645782184611096,0.03905989103807108,0.8002956960223025,0.040958994446751794,0.03909409816837414
ALB,2004,0.035155325963931054,0.037333300557729536,0.03520731012833365,0.8189714141643372,0.038273259018967415,0.035059390166701294
ALB,2005,0.033767704108604406,0.035262139040394665,0.03287910578323829,0.8301966048682391,0.0350521928419478,0.03284225335757566
ALB,2006,0.03266419645481095,0.03179001229096593,0.029692573906721746,0.8414108808510679,0.034933927057280656,0.029508409439152762
ALB,2007,0.08003351330939495,0.02975603434201267,0.027933125104954565,0.8055505719199513,0.02884945940394098,0.027877295919745613
ALB,2008,0.07730988621246704,0.02744998512423051,0.02600130091393519,0.8170218697214633,0.026279552378936435,0.02593740564896761
ALB,2009,0.10934078567771609,0.02878709424950144,0.026848871640613434,0.7808725494552766,0.027398535826248228,0.026752163150644284
ALB,2010,0.1651625115452961,0.1511114385044007,0.029771726052033806,0.5942648757139625,0.029971318622325847,0.02971812956198106
ALB,2011,0.2623365279735272,0.03630155693916458,0.033878874563173025,0.5994266395457739,0.034245955745249516,0.033810445233111636
ALB,2012,0.324146858872983,0.045407083976459824,0.042946683106388314,0.501253846536566,0.043449895594442525,0.04279563191316033
ALB,2013,0.3359377833248391,0.04853684375269948,0.045918682518152454,0.4772876238442573,0.0460317681329375,0.04628729842711416
