rep_iso,year,0,1
ABW,2005,0.7299271198592756,0.27007288014072445
ABW,2009,0.61100897475677,0.3889910252432301
ABW,2010,0.7000347707201986,0.2999652292798014
ABW,2011,0.6913382616223299,0.3086617383776701
ABW,2012,0.6483398310192023,0.3516601689807977
ABW,2013,0.6563488385294203,0.3436511614705796
ABW,2014,0.598080856301294,0.40191914369870607
ABW,2015,0.5982281533887068,0.4017718466112932
ABW,2016,0.5861250583276291,0.41387494167237093
ABW,2017,0.6041790993927676,0.3958209006072324
AFG,2008,0.8061799135644055,0.19382008643559445
AFG,2009,0.8278075650863266,0.1721924349136734
AFG,2010,0.8230561831960923,0.1769438168039076
AFG,2011,0.8307432472118289,0.16925675278817107
AFG,2012,0.7907240964263148,0.20927590357368506
AFG,2013,0.7859528665371289,0.21404713346287108
AFG,2014,0.7868608970331815,0.21313910296681843
AFG,2015,0.847049716164558,0.15295028383544193
AFG,2016,0.8631582053940559,0.13684179460594423
AGO,2007,0.7549615212616788,0.24503847873832124
AGO,2009,0.7782709541661288,0.2217290458338713
AGO,2010,0.777994292822998,0.222005707177002
AGO,2011,0.7148088047445881,0.28519119525541187
AGO,2012,0.7186545661723173,0.28134543382768284
AGO,2013,0.7181983527966346,0.2818016472033653
AGO,2014,0.7542795039904033,0.2457204960095967
AGO,2015,0.7559086293701995,0.2440913706298004
ALB,1996,0.831173322499262,0.168826677500738
ALB,1997,0.8436865975817524,0.1563134024182476
ALB,1998,0.8095302562808239,0.1904697437191762
ALB,1999,0.7916179322633707,0.20838206773662937
ALB,2000,0.7930646262522945,0.20693537374770551
ALB,2001,0.7958647336024571,0.20413526639754284
ALB,2002,0.7811452885293468,0.21885471147065327
ALB,2003,0.7761428484262999,0.2238571515737
ALB,2004,0.7590073328759723,0.24099266712402762
ALB,2005,0.7531801506199198,0.2468198493800802
ALB,2006,0.7312034642678131,0.26879653573218687
ALB,2007,0.7420702637333197,0.2579297362666803
ALB,2008,0.745726899369461,0.25427310063053893
ALB,2009,0.7517077260953028,0.2482922739046972
ALB,2010,0.6995865926838103,0.30041340731618976
ALB,2011,0.7096169329147733,0.2903830670852266
ALB,2012,0.7393009464008004,0.2606990535991997
ALB,2013,0.767511540541716,0.23248845945828395
ALB,2014,0.8252092059243531,0.1747907940756469
ALB,2015,0.8011734378388266,0.1988265621611734
ALB,2016,0.7685981552639295,0.23140184473607048
ALB,2017,0.8251327991767514,0.1748672008232485
AND,1996,0.16135349621704878,0.8386465037829511
AND,1997,0.13189413719083323,0.8681058628091667
AND,1998,0.13507044496884277,0.8649295550311572
AND,1999,0.12806166587811313,0.8719383341218869
AND,2000,0.1243468968139905,0.8756531031860095
AND,2001,0.10183746543472286,0.8981625345652772
AND,2002,0.1308799299945989,0.8691200700054011
AND,2003,0.11412188897162444,0.8858781110283755
AND,2004,0.13288714229852747,0.8671128577014726
AND,2005,0.13139360916294593,0.8686063908370542
AND,2006,0.13272459387307142,0.8672754061269285
AND,2007,0.10521380734882892,0.8947861926511711
AND,2008,0.10984153042939737,0.8901584695706026
AND,2009,0.10842376379738719,0.8915762362026128
AND,2010,0.13092915650074025,0.8690708434992597
AND,2011,0.12806173856706743,0.8719382614329326
AND,2012,0.1469967484614736,0.8530032515385264
AND,2013,0.12790019724256088,0.8720998027574391
AND,2014,0.11746148371861341,0.8825385162813867
ANT,1998,0.7405300028088961,0.259469997191104
ANT,2005,0.3022690938925917,0.6977309061074083
ANT,2006,0.33631118325159853,0.6636888167484015
ANT,2007,0.43098384829857755,0.5690161517014224
ANT,2008,0.23455399093821927,0.7654460090617807
ARE,2005,0.16889809053710436,0.8311019094628956
ARE,2007,0.7305498902892057,0.2694501097107943
ARE,2008,0.7304777762267344,0.2695222237732655
ARE,2012,0.092691778201228,0.907308221798772
ARE,2013,0.10229305454956285,0.8977069454504372
ARE,2014,0.6627908615064458,0.3372091384935542
ARE,2015,0.7020488581231502,0.2979511418768498
ARE,2016,0.6918100482182417,0.3081899517817583
ARG,1996,0.46516883185539604,0.5348311681446041
ARG,1997,0.4161403080926338,0.5838596919073662
ARG,1998,0.41031077673096295,0.5896892232690369
ARG,1999,0.39123644111900635,0.6087635588809935
ARG,2000,0.46214837889453975,0.5378516211054603
ARG,2001,0.41052042327485727,0.5894795767251428
